Question,Answer,source,question_tokens,answer_tokens,question_indices,answer_indices,question_padded,answer_padded
Was Abraham Lincoln the sixteenth President of the United States?,yes,S08,"['was', 'abraham', 'lincoln', 'the', 'sixteenth', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'yes', '<eos>']","[11, 1051, 136, 4, 2293, 69, 5, 4, 87, 105]","[2, 6, 3]","[11, 1051, 136, 4, 2293, 69, 5, 4, 87, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Abraham Lincoln the sixteenth President of the United States?,Yes.,S08,"['was', 'abraham', 'lincoln', 'the', 'sixteenth', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'yes', '<eos>']","[11, 1051, 136, 4, 2293, 69, 5, 4, 87, 105]","[2, 6, 3]","[11, 1051, 136, 4, 2293, 69, 5, 4, 87, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln sign the National Banking Act of 1863?,yes,S08,"['did', 'lincoln', 'sign', 'the', 'national', 'banking', 'act', 'of', '1863']","['<sos>', 'yes', '<eos>']","[14, 136, 882, 4, 137, 2294, 413, 5, 2295]","[2, 6, 3]","[14, 136, 882, 4, 137, 2294, 413, 5, 2295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln sign the National Banking Act of 1863?,Yes.,S08,"['did', 'lincoln', 'sign', 'the', 'national', 'banking', 'act', 'of', '1863']","['<sos>', 'yes', '<eos>']","[14, 136, 882, 4, 137, 2294, 413, 5, 2295]","[2, 6, 3]","[14, 136, 882, 4, 137, 2294, 413, 5, 2295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did his mother die of pneumonia?,no,S08,"['did', 'his', 'mother', 'die', 'of', 'pneumonia']","['<sos>', 'no', '<eos>']","[14, 33, 265, 150, 5, 2296]","[2, 16, 3]","[14, 33, 265, 150, 5, 2296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did his mother die of pneumonia?,No.,S08,"['did', 'his', 'mother', 'die', 'of', 'pneumonia']","['<sos>', 'no', '<eos>']","[14, 33, 265, 150, 5, 2296]","[2, 16, 3]","[14, 33, 265, 150, 5, 2296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How many long was Lincoln's formal education?,18 months,S08,"['how', 'many', 'long', 'was', 'lincolns', 'formal', 'education']","['<sos>', '18', 'months', '<eos>']","[17, 29, 82, 11, 1278, 1052, 532]","[2, 884, 666, 3]","[17, 29, 82, 11, 1278, 1052, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 884, 666, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How many long was Lincoln's formal education?,18 months.,S08,"['how', 'many', 'long', 'was', 'lincolns', 'formal', 'education']","['<sos>', '18', 'months', '<eos>']","[17, 29, 82, 11, 1278, 1052, 532]","[2, 884, 666, 3]","[17, 29, 82, 11, 1278, 1052, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 884, 666, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did Lincoln begin his political career?,1832,S08,"['when', 'did', 'lincoln', 'begin', 'his', 'political', 'career']","['<sos>', '1832', '<eos>']","[24, 14, 136, 487, 33, 321, 1053]","[2, 757, 3]","[24, 14, 136, 487, 33, 321, 1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 757, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did Lincoln begin his political career?,1832.,S08,"['when', 'did', 'lincoln', 'begin', 'his', 'political', 'career']","['<sos>', '1832', '<eos>']","[24, 14, 136, 487, 33, 321, 1053]","[2, 757, 3]","[24, 14, 136, 487, 33, 321, 1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 757, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
