Question,Answer,source,question_tokens,answer_tokens,question_indices,answer_indices,question_padded,answer_padded
Was Abraham Lincoln the sixteenth President of the United States?,yes,S08,"['was', 'abraham', 'lincoln', 'the', 'sixteenth', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'yes', '<eos>']","[12, 1088, 142, 4, 2556, 67, 5, 4, 106, 130]","[2, 6, 3]","[12, 1088, 142, 4, 2556, 67, 5, 4, 106, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln sign the National Banking Act of 1863?,yes,S08,"['did', 'lincoln', 'sign', 'the', 'national', 'banking', 'act', 'of', '1863']","['<sos>', 'yes', '<eos>']","[14, 142, 847, 4, 131, 2557, 484, 5, 2558]","[2, 6, 3]","[14, 142, 847, 4, 131, 2557, 484, 5, 2558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did his mother die of pneumonia?,no,S08,"['did', 'his', 'mother', 'die', 'of', 'pneumonia']","['<sos>', 'no', '<eos>']","[14, 30, 288, 178, 5, 2559]","[2, 16, 3]","[14, 30, 288, 178, 5, 2559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How many long was Lincoln's formal education?,18 months,S08,"['how', 'many', 'long', 'was', 'lincolns', 'formal', 'education']","['<sos>', '18', 'months', '<eos>']","[17, 29, 80, 12, 1089, 1090, 559]","[2, 852, 562, 3]","[17, 29, 80, 12, 1089, 1090, 559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 852, 562, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did Lincoln begin his political career?,1832,S08,"['when', 'did', 'lincoln', 'begin', 'his', 'political', 'career']","['<sos>', '1832', '<eos>']","[24, 14, 142, 485, 30, 339, 1091]","[2, 850, 3]","[24, 14, 142, 485, 30, 339, 1091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 850, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",S08,"['what', 'did', 'the', 'legal', 'tender', 'act', 'of', '1862', 'establish']","['<sos>', 'the', 'united', 'states', 'note', 'the', 'first', 'paper', 'currency', 'in', 'united', 'states', 'history', '<eos>']","[10, 14, 4, 848, 2560, 484, 5, 2561, 1092]","[2, 4, 106, 130, 1019, 4, 44, 341, 1790, 8, 106, 130, 400, 3]","[10, 14, 4, 848, 2560, 484, 5, 2561, 1092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 106, 130, 1019, 4, 44, 341, 1790, 8, 106, 130, 400, 3, 0, 0, 0, 0, 0, 0]"
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,S08,"['who', 'suggested', 'lincoln', 'grow', 'a', 'beard']","['<sos>', '11yearold', 'grace', 'bedell', '<eos>']","[33, 2562, 142, 849, 9, 2563]","[2, 4360, 697, 4361, 3]","[33, 2562, 142, 849, 9, 2563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4360, 697, 4361, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did the Gettysburg address argue that America was born?,1776,S08,"['when', 'did', 'the', 'gettysburg', 'address', 'argue', 'that', 'america', 'was', 'born']","['<sos>', '1776', '<eos>']","[24, 14, 4, 2564, 2565, 1546, 35, 179, 12, 47]","[2, 855, 3]","[24, 14, 4, 2564, 2565, 1546, 35, 179, 12, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 855, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,S08,"['did', 'lincoln', 'beat', 'john', 'c', 'breckinridge', 'in', 'the', '1860', 'election']","['<sos>', 'yes', '<eos>']","[14, 142, 2566, 98, 560, 2567, 8, 4, 683, 418]","[2, 6, 3]","[14, 142, 2566, 98, 560, 2567, 8, 4, 683, 418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Abraham Lincoln the first President of the United States?,No,S08,"['was', 'abraham', 'lincoln', 'the', 'first', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'no', '<eos>']","[12, 1088, 142, 4, 44, 67, 5, 4, 106, 130]","[2, 16, 3]","[12, 1088, 142, 4, 44, 67, 5, 4, 106, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln start his political career in 1832?,Yes,S08,"['did', 'lincoln', 'start', 'his', 'political', 'career', 'in', '1832']","['<sos>', 'yes', '<eos>']","[14, 142, 1547, 30, 339, 1091, 8, 850]","[2, 6, 3]","[14, 142, 1547, 30, 339, 1091, 8, 850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,S08,"['did', 'lincoln', 'ever', 'represent', 'alton', 'sangamon', 'railroad']","['<sos>', 'yes', '<eos>']","[14, 142, 486, 1548, 2568, 2569, 2570]","[2, 6, 3]","[14, 142, 486, 1548, 2568, 2569, 2570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Which county was Lincoln born in?,Hardin County,S08,"['which', 'county', 'was', 'lincoln', 'born', 'in']","['<sos>', 'hardin', 'county', '<eos>']","[45, 419, 12, 142, 47, 8]","[2, 4362, 419, 3]","[45, 419, 12, 142, 47, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4362, 419, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did Lincoln first serve as President?,"March 4, 1861",S08,"['when', 'did', 'lincoln', 'first', 'serve', 'as', 'president']","['<sos>', 'march', '4', '1861', '<eos>']","[24, 14, 142, 44, 487, 20, 67]","[2, 740, 459, 2421, 3]","[24, 14, 142, 44, 487, 20, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 740, 459, 2421, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who assassinated Lincoln?,John Wilkes Booth,S08,"['who', 'assassinated', 'lincoln']","['<sos>', 'john', 'wilkes', 'booth', '<eos>']","[33, 2571, 142]","[2, 98, 4363, 4364, 3]","[33, 2571, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 98, 4363, 4364, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Lincoln win the election of 1860?,Yes,S08,"['did', 'lincoln', 'win', 'the', 'election', 'of', '1860']","['<sos>', 'yes', '<eos>']","[14, 142, 289, 4, 418, 5, 683]","[2, 6, 3]","[14, 142, 289, 4, 418, 5, 683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who was the general in charge at the Battle of Antietam?,General McClellan,S08,"['who', 'was', 'the', 'general', 'in', 'charge', 'at', 'the', 'battle', 'of', 'antietam']","['<sos>', 'general', 'mcclellan', '<eos>']","[33, 12, 4, 377, 8, 561, 36, 4, 420, 5, 2572]","[2, 377, 4365, 3]","[33, 12, 4, 377, 8, 561, 36, 4, 420, 5, 2572, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 377, 4365, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
